schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,8,standard-pod-5,kind-worker2,159.201
Standard,8,standard-pod-6,kind-worker,167.517
Standard,8,standard-pod-7,kind-worker,159.471
Standard,8,standard-pod-8,kind-worker2,157.011
EnergyAware,8,energy-aware-pod-1,kind-worker,149.007
EnergyAware,8,energy-aware-pod-2,kind-worker2,122.751
EnergyAware,8,energy-aware-pod-3,kind-worker2,122.91
EnergyAware,8,energy-aware-pod-4,kind-worker,120.144
EnergyAware,8,energy-aware-pod-5,kind-worker2,153.399
EnergyAware,8,energy-aware-pod-6,kind-worker,127.617
EnergyAware,8,energy-aware-pod-7,kind-worker2,133.434
EnergyAware,8,energy-aware-pod-8,kind-worker2,144.924
Standard,9,standard-pod-1,kind-worker2,150.648
Standard,9,standard-pod-2,kind-worker,148.965
Standard,9,standard-pod-3,kind-worker2,114.084
Standard,9,standard-pod-4,kind-worker,141.999
Standard,9,standard-pod-5,kind-worker,146.298
Standard,9,standard-pod-6,kind-worker2,149.151
Standard,9,standard-pod-7,kind-worker,140.544
Standard,9,standard-pod-8,kind-worker2,123.327
Standard,9,standard-pod-9,kind-worker2,142.335
EnergyAware,9,energy-aware-pod-1,kind-worker,182.64
EnergyAware,9,energy-aware-pod-2,kind-worker2,150.786
EnergyAware,9,energy-aware-pod-3,kind-worker2,163.152
EnergyAware,9,energy-aware-pod-4,kind-worker,150.951
EnergyAware,9,energy-aware-pod-5,kind-worker2,160.749
EnergyAware,9,energy-aware-pod-6,kind-worker,141.777
EnergyAware,9,energy-aware-pod-7,kind-worker2,145.236
EnergyAware,9,energy-aware-pod-8,kind-worker2,151.17
EnergyAware,9,energy-aware-pod-9,kind-worker,164.604
Standard,10,standard-pod-1,kind-worker2,122.475
Standard,10,standard-pod-2,kind-worker,168.519
Standard,10,standard-pod-3,kind-worker2,135.453
Standard,10,standard-pod-4,kind-worker,165.999
Standard,10,standard-pod-5,kind-worker2,142.761
Standard,10,standard-pod-6,kind-worker,162.618
Standard,10,standard-pod-7,kind-worker,171.525
Standard,10,standard-pod-8,kind-worker2,111.471
Standard,10,standard-pod-9,kind-worker2,147.765
Standard,10,standard-pod-10,kind-worker,172.995
EnergyAware,10,energy-aware-pod-1,kind-worker,124.392
EnergyAware,10,energy-aware-pod-2,kind-worker2,148.227
EnergyAware,10,energy-aware-pod-3,kind-worker2,144.186
EnergyAware,10,energy-aware-pod-4,kind-worker,151.386
EnergyAware,10,energy-aware-pod-5,kind-worker2,168.594
EnergyAware,10,energy-aware-pod-6,kind-worker,135.108
EnergyAware,10,energy-aware-pod-7,kind-worker2,144.501
EnergyAware,10,energy-aware-pod-8,kind-worker2,152.226
EnergyAware,10,energy-aware-pod-9,kind-worker,178.206
EnergyAware,10,energy-aware-pod-10,kind-worker2,150.378
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,1,standard-pod-1,kind-worker2,142.086
EnergyAware,1,energy-aware-pod-1,kind-worker,147.663
Standard,2,standard-pod-1,kind-worker2,147.828
Standard,2,standard-pod-2,kind-worker,61.86
EnergyAware,2,energy-aware-pod-1,kind-worker,146.154
EnergyAware,2,energy-aware-pod-2,kind-worker2,121.452
Standard,3,standard-pod-1,kind-worker2,129.573
Standard,3,standard-pod-2,kind-worker,122.643
Standard,3,standard-pod-3,kind-worker2,148.068
EnergyAware,3,energy-aware-pod-1,kind-worker,139.422
EnergyAware,3,energy-aware-pod-2,kind-worker2,126.12
EnergyAware,3,energy-aware-pod-3,kind-worker2,145.995
Standard,4,standard-pod-1,kind-worker2,132.579
Standard,4,standard-pod-2,kind-worker,128.31
Standard,4,standard-pod-3,kind-worker2,147.123
Standard,4,standard-pod-4,kind-worker,63.249
EnergyAware,4,energy-aware-pod-1,kind-worker,129.93
EnergyAware,4,energy-aware-pod-2,kind-worker2,143.046
EnergyAware,4,energy-aware-pod-3,kind-worker2,140.355
EnergyAware,4,energy-aware-pod-4,kind-worker,133.332
Standard,5,standard-pod-1,kind-worker2,110.355
Standard,5,standard-pod-2,kind-worker,141.948
Standard,5,standard-pod-3,kind-worker2,137.424
Standard,5,standard-pod-4,kind-worker,134.313
Standard,5,standard-pod-5,kind-worker2,142.893
EnergyAware,5,energy-aware-pod-1,kind-worker,144.315
EnergyAware,5,energy-aware-pod-2,kind-worker2,132.678
EnergyAware,5,energy-aware-pod-3,kind-worker2,154.308
EnergyAware,5,energy-aware-pod-4,kind-worker,128.724
EnergyAware,5,energy-aware-pod-5,kind-worker2,125.457
Standard,6,standard-pod-1,kind-worker2,148.185
Standard,6,standard-pod-2,kind-worker,143.979
Standard,6,standard-pod-3,kind-worker2,138.747
Standard,6,standard-pod-4,kind-worker,117.915
Standard,6,standard-pod-5,kind-worker,122.112
Standard,6,standard-pod-6,kind-worker2,138.45
EnergyAware,6,energy-aware-pod-1,kind-worker,128.553
EnergyAware,6,energy-aware-pod-2,kind-worker2,123.927
EnergyAware,6,energy-aware-pod-3,kind-worker2,122.046
EnergyAware,6,energy-aware-pod-4,kind-worker,134.136
EnergyAware,6,energy-aware-pod-5,kind-worker2,134.295
EnergyAware,6,energy-aware-pod-6,kind-worker,142.326
Standard,7,standard-pod-1,kind-worker2,141.987
Standard,7,standard-pod-2,kind-worker,144.918
Standard,7,standard-pod-3,kind-worker2,142.41
Standard,7,standard-pod-4,kind-worker,105.207
Standard,7,standard-pod-5,kind-worker,147.534
Standard,7,standard-pod-6,kind-worker2,143.484
Standard,7,standard-pod-7,kind-worker2,144.219
EnergyAware,7,energy-aware-pod-1,kind-worker,142.923
EnergyAware,7,energy-aware-pod-2,kind-worker2,146.946
EnergyAware,7,energy-aware-pod-3,kind-worker2,150.462
EnergyAware,7,energy-aware-pod-4,kind-worker,131.352
EnergyAware,7,energy-aware-pod-5,kind-worker2,136.575
EnergyAware,7,energy-aware-pod-6,kind-worker,155.364
EnergyAware,7,energy-aware-pod-7,kind-worker2,136.866
Standard,8,standard-pod-1,kind-worker2,136.569
Standard,8,standard-pod-2,kind-worker,146.244
Standard,8,standard-pod-3,kind-worker2,143.847
Standard,8,standard-pod-4,kind-worker,129.615
Standard,8,standard-pod-5,kind-worker,138.867
Standard,8,standard-pod-6,kind-worker2,106.365
Standard,8,standard-pod-7,kind-worker2,137.754
Standard,8,standard-pod-8,kind-worker,140.934
EnergyAware,8,energy-aware-pod-1,kind-worker,128.913
EnergyAware,8,energy-aware-pod-2,kind-worker2,139.209
EnergyAware,8,energy-aware-pod-3,kind-worker2,90.168
EnergyAware,8,energy-aware-pod-4,kind-worker,129.453
EnergyAware,8,energy-aware-pod-5,kind-worker2,119.82
EnergyAware,8,energy-aware-pod-6,kind-worker,128.421
EnergyAware,8,energy-aware-pod-7,kind-worker2,138.99
EnergyAware,8,energy-aware-pod-8,kind-worker2,134.697
Standard,9,standard-pod-1,kind-worker2,155.094
Standard,9,standard-pod-2,kind-worker,157.644
Standard,9,standard-pod-3,kind-worker2,156.135
Standard,9,standard-pod-4,kind-worker,145.152
Standard,9,standard-pod-5,kind-worker2,150.534
Standard,9,standard-pod-6,kind-worker,148.197
Standard,9,standard-pod-7,kind-worker,155.91
Standard,9,standard-pod-8,kind-worker2,156.825
Standard,9,standard-pod-9,kind-worker2,190.401
EnergyAware,9,energy-aware-pod-1,kind-worker,153.129
EnergyAware,9,energy-aware-pod-2,kind-worker2,155.196
EnergyAware,9,energy-aware-pod-3,kind-worker2,160.02
EnergyAware,9,energy-aware-pod-4,kind-worker,146.76
EnergyAware,9,energy-aware-pod-5,kind-worker2,146.778
EnergyAware,9,energy-aware-pod-6,kind-worker,157.212
EnergyAware,9,energy-aware-pod-7,kind-worker2,151.548
EnergyAware,9,energy-aware-pod-8,kind-worker2,154.971
EnergyAware,9,energy-aware-pod-9,kind-worker,158.493
Standard,10,standard-pod-1,kind-worker2,130.596
Standard,10,standard-pod-2,kind-worker,169.005
Standard,10,standard-pod-3,kind-worker2,145.203
Standard,10,standard-pod-4,kind-worker,187.647
Standard,10,standard-pod-5,kind-worker2,129.279
Standard,10,standard-pod-6,kind-worker,168.015
Standard,10,standard-pod-7,kind-worker,183.132
Standard,10,standard-pod-8,kind-worker2,132.918
Standard,10,standard-pod-9,kind-worker2,136.524
Standard,10,standard-pod-10,kind-worker,186.498
EnergyAware,10,energy-aware-pod-1,kind-worker,139.878
EnergyAware,10,energy-aware-pod-2,kind-worker2,153.486
EnergyAware,10,energy-aware-pod-3,kind-worker2,156.93
EnergyAware,10,energy-aware-pod-4,kind-worker,161.67
EnergyAware,10,energy-aware-pod-5,kind-worker2,203.862
EnergyAware,10,energy-aware-pod-6,kind-worker,177.138
EnergyAware,10,energy-aware-pod-7,kind-worker2,143.106
EnergyAware,10,energy-aware-pod-8,kind-worker2,186.387
EnergyAware,10,energy-aware-pod-9,kind-worker,157.842
EnergyAware,10,energy-aware-pod-10,kind-worker2,154.071
