schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,1,standard-pod-1,kind-worker2,136.908
EnergyAware,1,energy-aware-pod-1,kind-worker,142.161
Standard,2,standard-pod-1,kind-worker2,144.549
Standard,2,standard-pod-2,kind-worker,140.217
EnergyAware,2,energy-aware-pod-1,kind-worker,119.196
EnergyAware,2,energy-aware-pod-2,kind-worker2,146.568
Standard,3,standard-pod-1,kind-worker2,149.061
Standard,3,standard-pod-2,kind-worker,142.143
Standard,3,standard-pod-3,kind-worker2,107.325
EnergyAware,3,energy-aware-pod-1,kind-worker,141.624
EnergyAware,3,energy-aware-pod-2,kind-worker2,131.037
EnergyAware,3,energy-aware-pod-3,kind-worker2,94.101
Standard,4,standard-pod-1,kind-worker2,130.185
Standard,4,standard-pod-2,kind-worker,130.962
Standard,4,standard-pod-3,kind-worker2,108.288
Standard,4,standard-pod-4,kind-worker,139.908
EnergyAware,4,energy-aware-pod-1,kind-worker,133.689
EnergyAware,4,energy-aware-pod-2,kind-worker2,121.011
EnergyAware,4,energy-aware-pod-3,kind-worker2,152.469
EnergyAware,4,energy-aware-pod-4,kind-worker,117.909
Standard,5,standard-pod-1,kind-worker2,152.262
Standard,5,standard-pod-2,kind-worker,134.553
Standard,5,standard-pod-3,kind-worker2,141.165
Standard,5,standard-pod-4,kind-worker,145.578
Standard,5,standard-pod-5,kind-worker2,157.515
EnergyAware,5,energy-aware-pod-1,kind-worker,131.349
EnergyAware,5,energy-aware-pod-2,kind-worker2,140.418
EnergyAware,5,energy-aware-pod-3,kind-worker2,135.975
EnergyAware,5,energy-aware-pod-4,kind-worker,118.395
EnergyAware,5,energy-aware-pod-5,kind-worker2,97.401
Standard,6,standard-pod-1,kind-worker2,126.924
Standard,6,standard-pod-2,kind-worker,131.58
Standard,6,standard-pod-3,kind-worker2,117.858
Standard,6,standard-pod-4,kind-worker,123.009
Standard,6,standard-pod-5,kind-worker,134.376
Standard,6,standard-pod-6,kind-worker2,137.901
EnergyAware,6,energy-aware-pod-1,kind-worker,144.747
EnergyAware,6,energy-aware-pod-2,kind-worker2,105.354
EnergyAware,6,energy-aware-pod-3,kind-worker2,146.244
EnergyAware,6,energy-aware-pod-4,kind-worker,145.23
EnergyAware,6,energy-aware-pod-5,kind-worker2,130.365
EnergyAware,6,energy-aware-pod-6,kind-worker,147.693
Standard,7,standard-pod-1,kind-worker2,139.581
Standard,7,standard-pod-2,kind-worker,147.792
Standard,7,standard-pod-3,kind-worker2,137.865
Standard,7,standard-pod-4,kind-worker,116.181
Standard,7,standard-pod-5,kind-worker,135.228
Standard,7,standard-pod-6,kind-worker2,136.887
Standard,7,standard-pod-7,kind-worker2,116.421
EnergyAware,7,energy-aware-pod-1,kind-worker,124.824
EnergyAware,7,energy-aware-pod-2,kind-worker2,109.563
EnergyAware,7,energy-aware-pod-3,kind-worker2,144.819
EnergyAware,7,energy-aware-pod-4,kind-worker,133.755
EnergyAware,7,energy-aware-pod-5,kind-worker2,120.105
EnergyAware,7,energy-aware-pod-6,kind-worker,137.415
EnergyAware,7,energy-aware-pod-7,kind-worker2,132.477
Standard,8,standard-pod-1,kind-worker2,168.768
Standard,8,standard-pod-2,kind-worker,141.441
Standard,8,standard-pod-3,kind-worker2,152.775
Standard,8,standard-pod-4,kind-worker,172.113
