num_instances,pod_name,pod_energy
18,stress-18instance-pod18,169.236
19,stress-19instance-pod1,188.832
19,stress-19instance-pod2,188.481
19,stress-19instance-pod3,192.897
19,stress-19instance-pod4,181.032
19,stress-19instance-pod5,193.365
19,stress-19instance-pod6,183.093
19,stress-19instance-pod7,185.421
19,stress-19instance-pod8,189.168
19,stress-19instance-pod9,198.282
19,stress-19instance-pod10,169.986
19,stress-19instance-pod11,180.306
19,stress-19instance-pod12,189.672
19,stress-19instance-pod13,178.755
19,stress-19instance-pod14,154.326
19,stress-19instance-pod15,176.877
19,stress-19instance-pod16,172.383
19,stress-19instance-pod17,177.156
19,stress-19instance-pod18,180.315
19,stress-19instance-pod19,183.243
20,stress-20instance-pod1,185.325
20,stress-20instance-pod2,176.91
20,stress-20instance-pod3,180.801
20,stress-20instance-pod4,184.239
20,stress-20instance-pod5,180.789
20,stress-20instance-pod6,181.362
20,stress-20instance-pod7,185.883
20,stress-20instance-pod8,183.324
20,stress-20instance-pod9,179.505
20,stress-20instance-pod10,165.867
20,stress-20instance-pod11,191.223
20,stress-20instance-pod12,182.535
20,stress-20instance-pod13,191.469
20,stress-20instance-pod14,182.826
20,stress-20instance-pod15,190.533
20,stress-20instance-pod16,184.539
20,stress-20instance-pod17,175.791
20,stress-20instance-pod18,173.829
20,stress-20instance-pod19,170.154
20,stress-20instance-pod20,181.791
