numberOfInstances,combination,nodeName,podName,energyConsumption
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod1,167.307
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod2,164.52
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod3,158.022
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod4,156.498
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod5,164.772
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod6,166.83
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod7,168.522
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod8,165.081
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod9,165.342
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod10,168.882
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod1,168.087
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod2,163.098
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod3,158.25
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod4,166.959
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod5,159.054
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod6,168.345
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod7,167.538
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod8,156.498
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod9,163.113
10,9kind-worker-1kind-worker2,kind-worker2,instances10-9kind-worker-1kind-worker2-pod10,146.505
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod1,162.918
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod2,161.391
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod3,159.567
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod4,160.311
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod5,159.405
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod6,155.145
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod7,158.727
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod8,159.681
10,8kind-worker-2kind-worker2,kind-worker2,instances10-8kind-worker-2kind-worker2-pod9,137.049
10,8kind-worker-2kind-worker2,kind-worker2,instances10-8kind-worker-2kind-worker2-pod10,151.422
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod1,167.673
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod2,172.365
