numberOfInstances,combination,nodeName,podName,energyConsumption
5,1kind-worker-4kind-worker2,kind-worker2,instances5-1kind-worker-4kind-worker2-pod3,150.711
5,1kind-worker-4kind-worker2,kind-worker2,instances5-1kind-worker-4kind-worker2-pod4,137.691
5,1kind-worker-4kind-worker2,kind-worker2,instances5-1kind-worker-4kind-worker2-pod5,149.688
5,0kind-worker-5kind-worker2,kind-worker2,instances5-0kind-worker-5kind-worker2-pod1,151.329
5,0kind-worker-5kind-worker2,kind-worker2,instances5-0kind-worker-5kind-worker2-pod2,151.779
5,0kind-worker-5kind-worker2,kind-worker2,instances5-0kind-worker-5kind-worker2-pod3,152.325
5,0kind-worker-5kind-worker2,kind-worker2,instances5-0kind-worker-5kind-worker2-pod4,145.752
5,0kind-worker-5kind-worker2,kind-worker2,instances5-0kind-worker-5kind-worker2-pod5,151.809
6,6kind-worker-0kind-worker2,kind-worker,instances6-6kind-worker-0kind-worker2-pod1,153.798
6,6kind-worker-0kind-worker2,kind-worker,instances6-6kind-worker-0kind-worker2-pod2,153.927
6,6kind-worker-0kind-worker2,kind-worker,instances6-6kind-worker-0kind-worker2-pod3,154.476
6,6kind-worker-0kind-worker2,kind-worker,instances6-6kind-worker-0kind-worker2-pod4,152.781
6,6kind-worker-0kind-worker2,kind-worker,instances6-6kind-worker-0kind-worker2-pod5,154.551
6,6kind-worker-0kind-worker2,kind-worker,instances6-6kind-worker-0kind-worker2-pod6,153.357
6,5kind-worker-1kind-worker2,kind-worker,instances6-5kind-worker-1kind-worker2-pod1,154.731
6,5kind-worker-1kind-worker2,kind-worker,instances6-5kind-worker-1kind-worker2-pod2,150.006
6,5kind-worker-1kind-worker2,kind-worker,instances6-5kind-worker-1kind-worker2-pod3,153.381
6,5kind-worker-1kind-worker2,kind-worker,instances6-5kind-worker-1kind-worker2-pod4,146.271
6,5kind-worker-1kind-worker2,kind-worker,instances6-5kind-worker-1kind-worker2-pod5,153.957
6,5kind-worker-1kind-worker2,kind-worker2,instances6-5kind-worker-1kind-worker2-pod6,125.322
6,4kind-worker-2kind-worker2,kind-worker,instances6-4kind-worker-2kind-worker2-pod1,136.869
6,4kind-worker-2kind-worker2,kind-worker,instances6-4kind-worker-2kind-worker2-pod2,153.156
6,4kind-worker-2kind-worker2,kind-worker,instances6-4kind-worker-2kind-worker2-pod3,150.033
6,4kind-worker-2kind-worker2,kind-worker,instances6-4kind-worker-2kind-worker2-pod4,147.804
6,4kind-worker-2kind-worker2,kind-worker2,instances6-4kind-worker-2kind-worker2-pod5,125.973
6,4kind-worker-2kind-worker2,kind-worker2,instances6-4kind-worker-2kind-worker2-pod6,138.477
6,3kind-worker-3kind-worker2,kind-worker,instances6-3kind-worker-3kind-worker2-pod1,133.677
6,3kind-worker-3kind-worker2,kind-worker,instances6-3kind-worker-3kind-worker2-pod2,134.856
6,3kind-worker-3kind-worker2,kind-worker,instances6-3kind-worker-3kind-worker2-pod3,149.061
6,3kind-worker-3kind-worker2,kind-worker2,instances6-3kind-worker-3kind-worker2-pod4,154.461
6,3kind-worker-3kind-worker2,kind-worker2,instances6-3kind-worker-3kind-worker2-pod5,134.115
6,3kind-worker-3kind-worker2,kind-worker2,instances6-3kind-worker-3kind-worker2-pod6,152.271
6,2kind-worker-4kind-worker2,kind-worker,instances6-2kind-worker-4kind-worker2-pod1,144.987
6,2kind-worker-4kind-worker2,kind-worker,instances6-2kind-worker-4kind-worker2-pod2,145.254
6,2kind-worker-4kind-worker2,kind-worker2,instances6-2kind-worker-4kind-worker2-pod3,118.005
6,2kind-worker-4kind-worker2,kind-worker2,instances6-2kind-worker-4kind-worker2-pod4,151.134
6,2kind-worker-4kind-worker2,kind-worker2,instances6-2kind-worker-4kind-worker2-pod5,134.658
6,2kind-worker-4kind-worker2,kind-worker2,instances6-2kind-worker-4kind-worker2-pod6,135.987
6,1kind-worker-5kind-worker2,kind-worker,instances6-1kind-worker-5kind-worker2-pod1,142.365
6,1kind-worker-5kind-worker2,kind-worker2,instances6-1kind-worker-5kind-worker2-pod2,153.504
6,1kind-worker-5kind-worker2,kind-worker2,instances6-1kind-worker-5kind-worker2-pod3,152.901
6,1kind-worker-5kind-worker2,kind-worker2,instances6-1kind-worker-5kind-worker2-pod4,146.076
6,1kind-worker-5kind-worker2,kind-worker2,instances6-1kind-worker-5kind-worker2-pod5,154.353
6,1kind-worker-5kind-worker2,kind-worker2,instances6-1kind-worker-5kind-worker2-pod6,150.885
6,0kind-worker-6kind-worker2,kind-worker2,instances6-0kind-worker-6kind-worker2-pod1,150.165
6,0kind-worker-6kind-worker2,kind-worker2,instances6-0kind-worker-6kind-worker2-pod2,151.95
6,0kind-worker-6kind-worker2,kind-worker2,instances6-0kind-worker-6kind-worker2-pod3,154.389
6,0kind-worker-6kind-worker2,kind-worker2,instances6-0kind-worker-6kind-worker2-pod4,154.881
6,0kind-worker-6kind-worker2,kind-worker2,instances6-0kind-worker-6kind-worker2-pod5,154.326
6,0kind-worker-6kind-worker2,kind-worker2,instances6-0kind-worker-6kind-worker2-pod6,153.855
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod1,154.635
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod2,154.128
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod3,154.086
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod4,153.351
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod5,153.756
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod6,154.257
7,7kind-worker-0kind-worker2,kind-worker,instances7-7kind-worker-0kind-worker2-pod7,154.512
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod1,155.862
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod2,154.251
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod3,153.945
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod4,152.31
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod5,154.722
7,6kind-worker-1kind-worker2,kind-worker,instances7-6kind-worker-1kind-worker2-pod6,152.124
7,6kind-worker-1kind-worker2,kind-worker2,instances7-6kind-worker-1kind-worker2-pod7,109.545
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod1,152.196
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod2,155.469
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod3,153.549
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod4,149.451
7,5kind-worker-2kind-worker2,kind-worker,instances7-5kind-worker-2kind-worker2-pod5,155.385
7,5kind-worker-2kind-worker2,kind-worker2,instances7-5kind-worker-2kind-worker2-pod6,109.575
7,5kind-worker-2kind-worker2,kind-worker2,instances7-5kind-worker-2kind-worker2-pod7,149.805
7,4kind-worker-3kind-worker2,kind-worker,instances7-4kind-worker-3kind-worker2-pod1,150.927
7,4kind-worker-3kind-worker2,kind-worker,instances7-4kind-worker-3kind-worker2-pod2,113.736
7,4kind-worker-3kind-worker2,kind-worker,instances7-4kind-worker-3kind-worker2-pod3,132.636
7,4kind-worker-3kind-worker2,kind-worker,instances7-4kind-worker-3kind-worker2-pod4,117.444
7,4kind-worker-3kind-worker2,kind-worker2,instances7-4kind-worker-3kind-worker2-pod5,151.485
7,4kind-worker-3kind-worker2,kind-worker2,instances7-4kind-worker-3kind-worker2-pod6,149.439
7,4kind-worker-3kind-worker2,kind-worker2,instances7-4kind-worker-3kind-worker2-pod7,115.8
7,3kind-worker-4kind-worker2,kind-worker,instances7-3kind-worker-4kind-worker2-pod1,147.294
7,3kind-worker-4kind-worker2,kind-worker,instances7-3kind-worker-4kind-worker2-pod2,153.948
7,3kind-worker-4kind-worker2,kind-worker,instances7-3kind-worker-4kind-worker2-pod3,142.344
7,3kind-worker-4kind-worker2,kind-worker2,instances7-3kind-worker-4kind-worker2-pod4,148.212
7,3kind-worker-4kind-worker2,kind-worker2,instances7-3kind-worker-4kind-worker2-pod5,128.199
7,3kind-worker-4kind-worker2,kind-worker2,instances7-3kind-worker-4kind-worker2-pod6,119.424
7,3kind-worker-4kind-worker2,kind-worker2,instances7-3kind-worker-4kind-worker2-pod7,149.043
7,2kind-worker-5kind-worker2,kind-worker,instances7-2kind-worker-5kind-worker2-pod1,151.026
7,2kind-worker-5kind-worker2,kind-worker,instances7-2kind-worker-5kind-worker2-pod2,141.921
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod3,148.971
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod4,152.523
7,2kind-worker-5kind-worker2,kind-worker2,instances7-2kind-worker-5kind-worker2-pod5,147.429
