numberOfInstances,combination,nodeName,podName,energyConsumption
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod1,169.275
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod2,172.929
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod3,167.379
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod4,170.019
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod5,173.988
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod6,169.617
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod7,170.298
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod8,170.094
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod9,175.059
10,10kind-worker-0kind-worker2,kind-worker,instances10-10kind-worker-0kind-worker2-pod10,166.626
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod1,164.931
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod2,164.178
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod3,158.457
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod4,152.556
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod5,168.255
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod6,171.258
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod7,173.511
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod8,164.502
10,9kind-worker-1kind-worker2,kind-worker,instances10-9kind-worker-1kind-worker2-pod9,164.739
10,9kind-worker-1kind-worker2,kind-worker2,instances10-9kind-worker-1kind-worker2-pod10,141.819
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod1,167.298
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod2,148.812
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod3,169.299
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod4,162.159
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod5,156.963
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod6,161.901
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod7,164.328
10,8kind-worker-2kind-worker2,kind-worker,instances10-8kind-worker-2kind-worker2-pod8,159.492
10,8kind-worker-2kind-worker2,kind-worker2,instances10-8kind-worker-2kind-worker2-pod9,145.278
10,8kind-worker-2kind-worker2,kind-worker2,instances10-8kind-worker-2kind-worker2-pod10,139.314
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod1,169.548
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod2,169.89
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod3,164.58
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod4,162.279
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod5,159.903
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod6,166.284
10,7kind-worker-3kind-worker2,kind-worker,instances10-7kind-worker-3kind-worker2-pod7,168.642
10,7kind-worker-3kind-worker2,kind-worker2,instances10-7kind-worker-3kind-worker2-pod8,121.92
10,7kind-worker-3kind-worker2,kind-worker2,instances10-7kind-worker-3kind-worker2-pod9,153.066
10,7kind-worker-3kind-worker2,kind-worker2,instances10-7kind-worker-3kind-worker2-pod10,153.024
10,6kind-worker-4kind-worker2,kind-worker,instances10-6kind-worker-4kind-worker2-pod1,163.464
10,6kind-worker-4kind-worker2,kind-worker,instances10-6kind-worker-4kind-worker2-pod2,167.958
10,6kind-worker-4kind-worker2,kind-worker,instances10-6kind-worker-4kind-worker2-pod3,167.034
10,6kind-worker-4kind-worker2,kind-worker,instances10-6kind-worker-4kind-worker2-pod4,182.292
10,6kind-worker-4kind-worker2,kind-worker,instances10-6kind-worker-4kind-worker2-pod5,164.85
10,6kind-worker-4kind-worker2,kind-worker,instances10-6kind-worker-4kind-worker2-pod6,179.301
10,6kind-worker-4kind-worker2,kind-worker2,instances10-6kind-worker-4kind-worker2-pod7,149.82
10,6kind-worker-4kind-worker2,kind-worker2,instances10-6kind-worker-4kind-worker2-pod8,149.529
10,6kind-worker-4kind-worker2,kind-worker2,instances10-6kind-worker-4kind-worker2-pod9,151.221
10,6kind-worker-4kind-worker2,kind-worker2,instances10-6kind-worker-4kind-worker2-pod10,125.535
10,5kind-worker-5kind-worker2,kind-worker,instances10-5kind-worker-5kind-worker2-pod1,170.994
10,5kind-worker-5kind-worker2,kind-worker,instances10-5kind-worker-5kind-worker2-pod2,179.637
10,5kind-worker-5kind-worker2,kind-worker,instances10-5kind-worker-5kind-worker2-pod3,175.344
10,5kind-worker-5kind-worker2,kind-worker,instances10-5kind-worker-5kind-worker2-pod4,176.646
10,5kind-worker-5kind-worker2,kind-worker,instances10-5kind-worker-5kind-worker2-pod5,170.403
10,5kind-worker-5kind-worker2,kind-worker2,instances10-5kind-worker-5kind-worker2-pod6,152.349
10,5kind-worker-5kind-worker2,kind-worker2,instances10-5kind-worker-5kind-worker2-pod7,153.561
10,5kind-worker-5kind-worker2,kind-worker2,instances10-5kind-worker-5kind-worker2-pod8,141.687
10,5kind-worker-5kind-worker2,kind-worker2,instances10-5kind-worker-5kind-worker2-pod9,144.474
10,5kind-worker-5kind-worker2,kind-worker2,instances10-5kind-worker-5kind-worker2-pod10,141.954
10,4kind-worker-6kind-worker2,kind-worker,instances10-4kind-worker-6kind-worker2-pod1,201.678
10,4kind-worker-6kind-worker2,kind-worker,instances10-4kind-worker-6kind-worker2-pod2,150.246
10,4kind-worker-6kind-worker2,kind-worker,instances10-4kind-worker-6kind-worker2-pod3,150.339
10,4kind-worker-6kind-worker2,kind-worker,instances10-4kind-worker-6kind-worker2-pod4,174.384
10,4kind-worker-6kind-worker2,kind-worker2,instances10-4kind-worker-6kind-worker2-pod5,146.424
10,4kind-worker-6kind-worker2,kind-worker2,instances10-4kind-worker-6kind-worker2-pod6,149.391
10,4kind-worker-6kind-worker2,kind-worker2,instances10-4kind-worker-6kind-worker2-pod7,154.557
10,4kind-worker-6kind-worker2,kind-worker2,instances10-4kind-worker-6kind-worker2-pod8,138.633
10,4kind-worker-6kind-worker2,kind-worker2,instances10-4kind-worker-6kind-worker2-pod9,174.381
10,4kind-worker-6kind-worker2,kind-worker2,instances10-4kind-worker-6kind-worker2-pod10,116.937
10,3kind-worker-7kind-worker2,kind-worker,instances10-3kind-worker-7kind-worker2-pod1,131.739
10,3kind-worker-7kind-worker2,kind-worker,instances10-3kind-worker-7kind-worker2-pod2,158.988
10,3kind-worker-7kind-worker2,kind-worker,instances10-3kind-worker-7kind-worker2-pod3,176.214
10,3kind-worker-7kind-worker2,kind-worker2,instances10-3kind-worker-7kind-worker2-pod4,140.982
10,3kind-worker-7kind-worker2,kind-worker2,instances10-3kind-worker-7kind-worker2-pod5,154.077
10,3kind-worker-7kind-worker2,kind-worker2,instances10-3kind-worker-7kind-worker2-pod6,190.986
