numberOfInstances,combination,nodeName,podName,energyConsumption
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod1,145.971
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod2,142.035
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod3,137.577
4,4kind-worker-0kind-worker2,kind-worker,instances4-4kind-worker-0kind-worker2-pod4,146.058
4,3kind-worker-1kind-worker2,kind-worker,instances4-3kind-worker-1kind-worker2-pod1,144.633
4,3kind-worker-1kind-worker2,kind-worker,instances4-3kind-worker-1kind-worker2-pod2,146.4
4,3kind-worker-1kind-worker2,kind-worker,instances4-3kind-worker-1kind-worker2-pod3,139.329
4,3kind-worker-1kind-worker2,kind-worker2,instances4-3kind-worker-1kind-worker2-pod4,114.57
4,2kind-worker-2kind-worker2,kind-worker,instances4-2kind-worker-2kind-worker2-pod1,144.168
4,2kind-worker-2kind-worker2,kind-worker,instances4-2kind-worker-2kind-worker2-pod2,122.352
4,2kind-worker-2kind-worker2,kind-worker2,instances4-2kind-worker-2kind-worker2-pod3,134.292
4,2kind-worker-2kind-worker2,kind-worker2,instances4-2kind-worker-2kind-worker2-pod4,127.704
4,1kind-worker-3kind-worker2,kind-worker,instances4-1kind-worker-3kind-worker2-pod1,129.534
4,1kind-worker-3kind-worker2,kind-worker2,instances4-1kind-worker-3kind-worker2-pod2,142.071
4,1kind-worker-3kind-worker2,kind-worker2,instances4-1kind-worker-3kind-worker2-pod3,140.07
4,1kind-worker-3kind-worker2,kind-worker2,instances4-1kind-worker-3kind-worker2-pod4,149.616
4,0kind-worker-4kind-worker2,kind-worker2,instances4-0kind-worker-4kind-worker2-pod1,136.791
4,0kind-worker-4kind-worker2,kind-worker2,instances4-0kind-worker-4kind-worker2-pod2,141.453
4,0kind-worker-4kind-worker2,kind-worker2,instances4-0kind-worker-4kind-worker2-pod3,132.555
4,0kind-worker-4kind-worker2,kind-worker2,instances4-0kind-worker-4kind-worker2-pod4,146.832
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod1,151.062
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod2,150.915
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod3,151.668
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod4,148.155
5,5kind-worker-0kind-worker2,kind-worker,instances5-5kind-worker-0kind-worker2-pod5,149.343
5,4kind-worker-1kind-worker2,kind-worker,instances5-4kind-worker-1kind-worker2-pod1,128.727
5,4kind-worker-1kind-worker2,kind-worker,instances5-4kind-worker-1kind-worker2-pod2,137.394
5,4kind-worker-1kind-worker2,kind-worker,instances5-4kind-worker-1kind-worker2-pod3,139.086
5,4kind-worker-1kind-worker2,kind-worker,instances5-4kind-worker-1kind-worker2-pod4,141.162
5,4kind-worker-1kind-worker2,kind-worker2,instances5-4kind-worker-1kind-worker2-pod5,147.198
5,3kind-worker-2kind-worker2,kind-worker,instances5-3kind-worker-2kind-worker2-pod1,152.205
