numberOfInstances,combination,nodeName,podName,energyConsumption
9,2kind-worker-7kind-worker2,kind-worker,instances9-2kind-worker-7kind-worker2-pod1,166.551
9,2kind-worker-7kind-worker2,kind-worker,instances9-2kind-worker-7kind-worker2-pod2,144.084
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod3,147.195
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod4,151.098
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod5,172.884
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod6,168.336
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod7,144.156
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod8,162.294
9,2kind-worker-7kind-worker2,kind-worker2,instances9-2kind-worker-7kind-worker2-pod9,159.438
9,1kind-worker-8kind-worker2,kind-worker,instances9-1kind-worker-8kind-worker2-pod1,126.066
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod2,146.049
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod3,165.891
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod4,136.332
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod5,142.773
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod6,149.106
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod7,161.517
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod8,144.282
9,1kind-worker-8kind-worker2,kind-worker2,instances9-1kind-worker-8kind-worker2-pod9,151.695
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod1,179.01
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod2,130.83
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod3,147.753
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod4,164.541
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod5,150.006
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod6,151.713
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod7,150.486
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod8,149.967
9,0kind-worker-9kind-worker2,kind-worker2,instances9-0kind-worker-9kind-worker2-pod9,141.573
