schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,7,standard-pod-7,kind-worker,150.129
EnergyAware,7,energy-aware-pod-1,kind-worker,121.473
EnergyAware,7,energy-aware-pod-2,kind-worker2,117.276
EnergyAware,7,energy-aware-pod-3,kind-worker2,117.798
EnergyAware,7,energy-aware-pod-4,kind-worker,150.945
EnergyAware,7,energy-aware-pod-5,kind-worker2,137.616
EnergyAware,7,energy-aware-pod-6,kind-worker,126.981
EnergyAware,7,energy-aware-pod-7,kind-worker2,139.581
Standard,8,standard-pod-1,kind-worker2,147.168
Standard,8,standard-pod-2,kind-worker,133.503
Standard,8,standard-pod-3,kind-worker2,152.706
Standard,8,standard-pod-4,kind-worker,143.07
Standard,8,standard-pod-5,kind-worker,133.668
Standard,8,standard-pod-6,kind-worker2,134.073
Standard,8,standard-pod-7,kind-worker2,148.146
Standard,8,standard-pod-8,kind-worker,129.942
EnergyAware,8,energy-aware-pod-1,kind-worker,141.519
EnergyAware,8,energy-aware-pod-2,kind-worker2,153.15
EnergyAware,8,energy-aware-pod-3,kind-worker2,155.436
EnergyAware,8,energy-aware-pod-4,kind-worker,129.576
EnergyAware,8,energy-aware-pod-5,kind-worker2,151.428
EnergyAware,8,energy-aware-pod-6,kind-worker,141.864
EnergyAware,8,energy-aware-pod-7,kind-worker2,154.212
EnergyAware,8,energy-aware-pod-8,kind-worker2,155.505
Standard,9,standard-pod-1,kind-worker2,161.484
Standard,9,standard-pod-2,kind-worker,143.808
Standard,9,standard-pod-3,kind-worker2,156.747
Standard,9,standard-pod-4,kind-worker,153.84
Standard,9,standard-pod-5,kind-worker,144.792
Standard,9,standard-pod-6,kind-worker2,169.917
Standard,9,standard-pod-7,kind-worker,144.384
Standard,9,standard-pod-8,kind-worker2,167.4
Standard,9,standard-pod-9,kind-worker2,166.713
EnergyAware,9,energy-aware-pod-1,kind-worker,125.358
EnergyAware,9,energy-aware-pod-2,kind-worker2,173.295
EnergyAware,9,energy-aware-pod-3,kind-worker2,163.212
EnergyAware,9,energy-aware-pod-4,kind-worker,153.846
EnergyAware,9,energy-aware-pod-5,kind-worker2,168.801
EnergyAware,9,energy-aware-pod-6,kind-worker,142.77
EnergyAware,9,energy-aware-pod-7,kind-worker2,167.193
EnergyAware,9,energy-aware-pod-8,kind-worker2,166.323
EnergyAware,9,energy-aware-pod-9,kind-worker,142.545
Standard,10,standard-pod-1,kind-worker2,169.005
Standard,10,standard-pod-2,kind-worker,160.368
Standard,10,standard-pod-3,kind-worker2,163.836
Standard,10,standard-pod-4,kind-worker,159.024
Standard,10,standard-pod-5,kind-worker,162.423
Standard,10,standard-pod-6,kind-worker2,164.526
Standard,10,standard-pod-7,kind-worker2,166.134
Standard,10,standard-pod-8,kind-worker,161.064
Standard,10,standard-pod-9,kind-worker2,164.817
Standard,10,standard-pod-10,kind-worker,165.156
EnergyAware,10,energy-aware-pod-1,kind-worker,117.852
EnergyAware,10,energy-aware-pod-2,kind-worker2,169.119
EnergyAware,10,energy-aware-pod-3,kind-worker2,177.423
EnergyAware,10,energy-aware-pod-4,kind-worker,147.624
EnergyAware,10,energy-aware-pod-5,kind-worker2,168.477
EnergyAware,10,energy-aware-pod-6,kind-worker,140.292
EnergyAware,10,energy-aware-pod-7,kind-worker2,172.305
EnergyAware,10,energy-aware-pod-8,kind-worker2,172.848
EnergyAware,10,energy-aware-pod-9,kind-worker,151.854
EnergyAware,10,energy-aware-pod-10,kind-worker2,175.107
schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,1,standard-pod-1,kind-worker2,144.012
EnergyAware,1,energy-aware-pod-1,kind-worker,139.335
Standard,2,standard-pod-1,kind-worker2,138.99
Standard,2,standard-pod-2,kind-worker,108.951
EnergyAware,2,energy-aware-pod-1,kind-worker,123.051
EnergyAware,2,energy-aware-pod-2,kind-worker2,125.646
Standard,3,standard-pod-1,kind-worker2,116.808
Standard,3,standard-pod-2,kind-worker,142.92
Standard,3,standard-pod-3,kind-worker2,121.626
EnergyAware,3,energy-aware-pod-1,kind-worker,86.973
EnergyAware,3,energy-aware-pod-2,kind-worker2,139.11
EnergyAware,3,energy-aware-pod-3,kind-worker2,119.931
Standard,4,standard-pod-1,kind-worker2,140.076
Standard,4,standard-pod-2,kind-worker,116.382
Standard,4,standard-pod-3,kind-worker2,125.688
Standard,4,standard-pod-4,kind-worker,133.191
EnergyAware,4,energy-aware-pod-1,kind-worker,146.895
EnergyAware,4,energy-aware-pod-2,kind-worker2,122.256
EnergyAware,4,energy-aware-pod-3,kind-worker2,141.378
EnergyAware,4,energy-aware-pod-4,kind-worker,133.617
Standard,5,standard-pod-1,kind-worker2,148.827
Standard,5,standard-pod-2,kind-worker,142.773
Standard,5,standard-pod-3,kind-worker2,82.659
Standard,5,standard-pod-4,kind-worker,144.918
Standard,5,standard-pod-5,kind-worker,123.807
EnergyAware,5,energy-aware-pod-1,kind-worker,113.886
EnergyAware,5,energy-aware-pod-2,kind-worker2,146.934
EnergyAware,5,energy-aware-pod-3,kind-worker2,106.719
EnergyAware,5,energy-aware-pod-4,kind-worker,112.722
EnergyAware,5,energy-aware-pod-5,kind-worker2,142.272
Standard,6,standard-pod-1,kind-worker2,140.202
Standard,6,standard-pod-2,kind-worker,139.656
Standard,6,standard-pod-3,kind-worker2,130.581
Standard,6,standard-pod-4,kind-worker,147.291
Standard,6,standard-pod-5,kind-worker,145.731
Standard,6,standard-pod-6,kind-worker2,103.59
EnergyAware,6,energy-aware-pod-1,kind-worker,136.059
EnergyAware,6,energy-aware-pod-2,kind-worker2,115.017
EnergyAware,6,energy-aware-pod-3,kind-worker2,136.245
EnergyAware,6,energy-aware-pod-4,kind-worker,136.104
EnergyAware,6,energy-aware-pod-5,kind-worker2,140.733
EnergyAware,6,energy-aware-pod-6,kind-worker,104.352
Standard,7,standard-pod-1,kind-worker2,141.174
Standard,7,standard-pod-2,kind-worker,115.782
Standard,7,standard-pod-3,kind-worker2,144.657
Standard,7,standard-pod-4,kind-worker,121.056
Standard,7,standard-pod-5,kind-worker,131.97
Standard,7,standard-pod-6,kind-worker2,142.8
Standard,7,standard-pod-7,kind-worker2,137.592
EnergyAware,7,energy-aware-pod-1,kind-worker,130.218
EnergyAware,7,energy-aware-pod-2,kind-worker2,143.427
EnergyAware,7,energy-aware-pod-3,kind-worker2,148.359
EnergyAware,7,energy-aware-pod-4,kind-worker,131.403
EnergyAware,7,energy-aware-pod-5,kind-worker2,121.161
EnergyAware,7,energy-aware-pod-6,kind-worker,153.06
EnergyAware,7,energy-aware-pod-7,kind-worker2,121.116
Standard,8,standard-pod-1,kind-worker2,132.003
Standard,8,standard-pod-2,kind-worker,152.301
Standard,8,standard-pod-3,kind-worker2,144.438
Standard,8,standard-pod-4,kind-worker,108.513
Standard,8,standard-pod-5,kind-worker,130.239
Standard,8,standard-pod-6,kind-worker2,142.188
Standard,8,standard-pod-7,kind-worker,124.425
Standard,8,standard-pod-8,kind-worker2,134.838
EnergyAware,8,energy-aware-pod-1,kind-worker,129.525
EnergyAware,8,energy-aware-pod-2,kind-worker2,152.97
EnergyAware,8,energy-aware-pod-3,kind-worker2,156.612
EnergyAware,8,energy-aware-pod-4,kind-worker,139.026
EnergyAware,8,energy-aware-pod-5,kind-worker2,147.228
EnergyAware,8,energy-aware-pod-6,kind-worker,145.221
EnergyAware,8,energy-aware-pod-7,kind-worker2,149.625
EnergyAware,8,energy-aware-pod-8,kind-worker2,149.43
Standard,9,standard-pod-1,kind-worker2,166.695
Standard,9,standard-pod-2,kind-worker,153.078
Standard,9,standard-pod-3,kind-worker2,171.213
Standard,9,standard-pod-4,kind-worker,123.432
Standard,9,standard-pod-5,kind-worker2,159.567
Standard,9,standard-pod-6,kind-worker,148.188
Standard,9,standard-pod-7,kind-worker2,163.731
Standard,9,standard-pod-8,kind-worker,150.84
Standard,9,standard-pod-9,kind-worker2,160.413
EnergyAware,9,energy-aware-pod-1,kind-worker,152.148
EnergyAware,9,energy-aware-pod-2,kind-worker2,150.81
EnergyAware,9,energy-aware-pod-3,kind-worker2,160.83
EnergyAware,9,energy-aware-pod-4,kind-worker,117.588
EnergyAware,9,energy-aware-pod-5,kind-worker2,162.207
EnergyAware,9,energy-aware-pod-6,kind-worker,115.518
EnergyAware,9,energy-aware-pod-7,kind-worker2,161.493
EnergyAware,9,energy-aware-pod-8,kind-worker2,162.231
EnergyAware,9,energy-aware-pod-9,kind-worker,147.966
Standard,10,standard-pod-1,kind-worker2,165.393
Standard,10,standard-pod-2,kind-worker,168.516
Standard,10,standard-pod-3,kind-worker2,164.517
Standard,10,standard-pod-4,kind-worker,157.29
Standard,10,standard-pod-5,kind-worker2,159.612
Standard,10,standard-pod-6,kind-worker,151.584
Standard,10,standard-pod-7,kind-worker2,167.367
Standard,10,standard-pod-8,kind-worker,159.516
Standard,10,standard-pod-9,kind-worker2,167.886
Standard,10,standard-pod-10,kind-worker,163.611
EnergyAware,10,energy-aware-pod-1,kind-worker,125.742
EnergyAware,10,energy-aware-pod-2,kind-worker2,171.939
EnergyAware,10,energy-aware-pod-3,kind-worker2,173.301
EnergyAware,10,energy-aware-pod-4,kind-worker,151.533
EnergyAware,10,energy-aware-pod-5,kind-worker2,171.354
EnergyAware,10,energy-aware-pod-6,kind-worker,136.401
EnergyAware,10,energy-aware-pod-7,kind-worker2,172.146
EnergyAware,10,energy-aware-pod-8,kind-worker2,171.027
EnergyAware,10,energy-aware-pod-9,kind-worker,146.052
EnergyAware,10,energy-aware-pod-10,kind-worker2,167.934
