schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,1,standard-pod-1,kind-worker2,146.058
EnergyAware,1,energy-aware-pod-1,kind-worker,143.562
Standard,2,standard-pod-1,kind-worker2,108.069
Standard,2,standard-pod-2,kind-worker,142.656
EnergyAware,2,energy-aware-pod-1,kind-worker,101.739
EnergyAware,2,energy-aware-pod-2,kind-worker2,147.216
Standard,3,standard-pod-1,kind-worker2,128.112
Standard,3,standard-pod-2,kind-worker,142.59
Standard,3,standard-pod-3,kind-worker2,99.15
EnergyAware,3,energy-aware-pod-1,kind-worker,141.762
EnergyAware,3,energy-aware-pod-2,kind-worker2,128.526
EnergyAware,3,energy-aware-pod-3,kind-worker2,133.977
Standard,4,standard-pod-1,kind-worker2,147.441
Standard,4,standard-pod-2,kind-worker,135.975
Standard,4,standard-pod-3,kind-worker2,146.388
Standard,4,standard-pod-4,kind-worker,101.097
EnergyAware,4,energy-aware-pod-1,kind-worker,109.032
EnergyAware,4,energy-aware-pod-2,kind-worker2,134.784
EnergyAware,4,energy-aware-pod-3,kind-worker2,152.655
EnergyAware,4,energy-aware-pod-4,kind-worker,133.035
Standard,5,standard-pod-1,kind-worker2,143.007
Standard,5,standard-pod-2,kind-worker,137.247
Standard,5,standard-pod-3,kind-worker2,139.356
Standard,5,standard-pod-4,kind-worker,141.627
Standard,5,standard-pod-5,kind-worker,119.58
EnergyAware,5,energy-aware-pod-1,kind-worker,131.349
EnergyAware,5,energy-aware-pod-2,kind-worker2,140.871
EnergyAware,5,energy-aware-pod-3,kind-worker2,134.037
EnergyAware,5,energy-aware-pod-4,kind-worker,129.102
EnergyAware,5,energy-aware-pod-5,kind-worker2,138.969
Standard,6,standard-pod-1,kind-worker2,125.34
Standard,6,standard-pod-2,kind-worker,132.741
Standard,6,standard-pod-3,kind-worker2,126.159
Standard,6,standard-pod-4,kind-worker,143.481
Standard,6,standard-pod-5,kind-worker,132.267
Standard,6,standard-pod-6,kind-worker2,117.849
EnergyAware,6,energy-aware-pod-1,kind-worker,130.398
EnergyAware,6,energy-aware-pod-2,kind-worker2,142.179
EnergyAware,6,energy-aware-pod-3,kind-worker2,137.865
EnergyAware,6,energy-aware-pod-4,kind-worker,149.454
EnergyAware,6,energy-aware-pod-5,kind-worker2,145.221
EnergyAware,6,energy-aware-pod-6,kind-worker,131.304
Standard,7,standard-pod-1,kind-worker2,146.16
Standard,7,standard-pod-2,kind-worker,144.45
Standard,7,standard-pod-3,kind-worker2,130.233
Standard,7,standard-pod-4,kind-worker,151.998
Standard,7,standard-pod-5,kind-worker,147.318
Standard,7,standard-pod-6,kind-worker2,151.128
