num_instances,pod_name,pod_energy
1,stress-1instance-pod1,137.094
2,stress-2instance-pod1,105.84
2,stress-2instance-pod2,147.357
3,stress-3instance-pod1,154.191
3,stress-3instance-pod2,133.062
3,stress-3instance-pod3,144.777
4,stress-4instance-pod1,156.807
4,stress-4instance-pod2,142.8
4,stress-4instance-pod3,154.953
4,stress-4instance-pod4,156.57
5,stress-5instance-pod1,154.056
5,stress-5instance-pod2,148.752
5,stress-5instance-pod3,145.107
5,stress-5instance-pod4,149.397
5,stress-5instance-pod5,152.325
6,stress-6instance-pod1,152.361
6,stress-6instance-pod2,152.481
6,stress-6instance-pod3,153.351
6,stress-6instance-pod4,150.018
6,stress-6instance-pod5,152.928
6,stress-6instance-pod6,150.966
7,stress-7instance-pod1,165.12
7,stress-7instance-pod2,163.851
7,stress-7instance-pod3,164.553
7,stress-7instance-pod4,163.254
7,stress-7instance-pod5,162.627
7,stress-7instance-pod6,162.696
7,stress-7instance-pod7,165.369
8,stress-8instance-pod1,156
8,stress-8instance-pod2,156.213
8,stress-8instance-pod3,155.499
8,stress-8instance-pod4,155.367
8,stress-8instance-pod5,154.515
8,stress-8instance-pod6,154.542
8,stress-8instance-pod7,154.926
8,stress-8instance-pod8,155.103
9,stress-9instance-pod1,156.684
9,stress-9instance-pod2,158.103
9,stress-9instance-pod3,161.433
9,stress-9instance-pod4,158.367
9,stress-9instance-pod5,161.883
9,stress-9instance-pod6,166.515
9,stress-9instance-pod7,160.527
9,stress-9instance-pod8,162.903
9,stress-9instance-pod9,158.775
10,stress-10instance-pod1,166.836
10,stress-10instance-pod2,165.417
10,stress-10instance-pod3,168.537
10,stress-10instance-pod4,160.956
10,stress-10instance-pod5,167.781
10,stress-10instance-pod6,167.046
10,stress-10instance-pod7,164.904
10,stress-10instance-pod8,163.452
10,stress-10instance-pod9,168.813
10,stress-10instance-pod10,170.079
