num_instances,pod_name,pod_energy
1,stress-1instance-pod1,148.692
1,Total,148.692
1,Average,148.692
2,stress-2instance-pod1,129.12
2,stress-2instance-pod2,138.465
2,Total,267.58500000000004
2,Average,133.79250000000002
3,stress-3instance-pod1,143.103
3,stress-3instance-pod2,146.163
3,stress-3instance-pod3,128.367
3,Total,417.63300000000004
3,Average,139.211
4,stress-4instance-pod1,135.672
4,stress-4instance-pod2,128.658
4,stress-4instance-pod3,150.927
4,stress-4instance-pod4,138.717
4,Total,553.9739999999999
4,Average,138.49349999999998
5,stress-5instance-pod1,145.047
5,stress-5instance-pod2,145.704
5,stress-5instance-pod3,144.432
5,stress-5instance-pod4,143.445
5,stress-5instance-pod5,144.246
5,Total,722.874
5,Average,144.5748
6,stress-6instance-pod1,146.049
6,stress-6instance-pod2,152.568
6,stress-6instance-pod3,152.844
6,stress-6instance-pod4,151.242
6,stress-6instance-pod5,148.968
6,stress-6instance-pod6,147.345
6,Total,899.016
6,Average,149.83599999999998
7,stress-7instance-pod1,158.499
7,stress-7instance-pod2,158.607
7,stress-7instance-pod3,151.869
7,stress-7instance-pod4,157.503
7,stress-7instance-pod5,156.474
7,stress-7instance-pod6,158.655
7,stress-7instance-pod7,159.075
7,Total,1100.682
7,Average,157.2402857142857
8,stress-8instance-pod1,151.683
8,stress-8instance-pod2,147.948
8,stress-8instance-pod3,158.646
8,stress-8instance-pod4,157.746
8,stress-8instance-pod5,155.85
8,stress-8instance-pod6,153.504
8,stress-8instance-pod7,146.121
8,stress-8instance-pod8,150.816
8,Total,1222.314
8,Average,152.78925
