schedulingType,numberOfInstances,podName,nodeName,energyConsumption
Standard,7,standard-pod-1,kind-worker2,140.859
Standard,7,standard-pod-2,kind-worker,155.712
Standard,7,standard-pod-3,kind-worker2,151.881
Standard,7,standard-pod-4,kind-worker,153.945
Standard,7,standard-pod-5,kind-worker2,133.209
Standard,7,standard-pod-6,kind-worker,150.864
Standard,7,standard-pod-7,kind-worker,154.71
EnergyAware,7,energy-aware-pod-1,kind-worker,153.936
EnergyAware,7,energy-aware-pod-2,kind-worker2,133.206
EnergyAware,7,energy-aware-pod-3,kind-worker2,151.716
EnergyAware,7,energy-aware-pod-4,kind-worker,145.728
EnergyAware,7,energy-aware-pod-5,kind-worker2,137.964
EnergyAware,7,energy-aware-pod-6,kind-worker,154.935
EnergyAware,7,energy-aware-pod-7,kind-worker2,141.837
Standard,8,standard-pod-1,kind-worker2,133.524
Standard,8,standard-pod-2,kind-worker,155.856
Standard,8,standard-pod-3,kind-worker2,81.438
Standard,8,standard-pod-4,kind-worker,155.499
Standard,8,standard-pod-5,kind-worker2,148.989
Standard,8,standard-pod-6,kind-worker,144.624
Standard,8,standard-pod-7,kind-worker2,141.024
Standard,8,standard-pod-8,kind-worker,157.659
EnergyAware,8,energy-aware-pod-1,kind-worker,155.172
EnergyAware,8,energy-aware-pod-2,kind-worker2,149.784
EnergyAware,8,energy-aware-pod-3,kind-worker2,135.759
EnergyAware,8,energy-aware-pod-4,kind-worker,157.227
EnergyAware,8,energy-aware-pod-5,kind-worker2,111.069
EnergyAware,8,energy-aware-pod-6,kind-worker,151.62
EnergyAware,8,energy-aware-pod-7,kind-worker2,139.836
EnergyAware,8,energy-aware-pod-8,kind-worker2,150.798
Standard,9,standard-pod-1,kind-worker2,123.759
Standard,9,standard-pod-2,kind-worker,161.46
Standard,9,standard-pod-3,kind-worker2,121.983
Standard,9,standard-pod-4,kind-worker,160.548
Standard,9,standard-pod-5,kind-worker2,88.236
Standard,9,standard-pod-6,kind-worker,159.165
Standard,9,standard-pod-7,kind-worker,160.11
Standard,9,standard-pod-8,kind-worker2,154.077
Standard,9,standard-pod-9,kind-worker2,122.892
EnergyAware,9,energy-aware-pod-1,kind-worker,157.968
EnergyAware,9,energy-aware-pod-2,kind-worker2,123.969
EnergyAware,9,energy-aware-pod-3,kind-worker2,148.515
EnergyAware,9,energy-aware-pod-4,kind-worker,168.711
EnergyAware,9,energy-aware-pod-5,kind-worker2,135.069
EnergyAware,9,energy-aware-pod-6,kind-worker,161.787
EnergyAware,9,energy-aware-pod-7,kind-worker2,110.73
EnergyAware,9,energy-aware-pod-8,kind-worker2,152.121
EnergyAware,9,energy-aware-pod-9,kind-worker,162.438
Standard,10,standard-pod-1,kind-worker2,139.737
Standard,10,standard-pod-2,kind-worker,157.218
Standard,10,standard-pod-3,kind-worker2,147.876
Standard,10,standard-pod-4,kind-worker,162.87
Standard,10,standard-pod-5,kind-worker,152.7
Standard,10,standard-pod-6,kind-worker2,127.884
Standard,10,standard-pod-7,kind-worker,152.934
Standard,10,standard-pod-8,kind-worker2,116.238
Standard,10,standard-pod-9,kind-worker2,147.558
