num_instances,pod_name,pod_energy
1,stress-1instance-pod1,149.313
2,stress-2instance-pod1,148.167
2,stress-2instance-pod2,122.448
3,stress-3instance-pod1,129.303
3,stress-3instance-pod2,151.05
3,stress-3instance-pod3,123.744
4,stress-4instance-pod1,154.029
4,stress-4instance-pod2,151.029
4,stress-4instance-pod3,145.527
4,stress-4instance-pod4,125.469
5,stress-5instance-pod1,149.916
5,stress-5instance-pod2,147.369
5,stress-5instance-pod3,151.689
5,stress-5instance-pod4,141.126
5,stress-5instance-pod5,133.191
6,stress-6instance-pod1,151.668
6,stress-6instance-pod2,138.09
6,stress-6instance-pod3,121.659
6,stress-6instance-pod4,146.178
6,stress-6instance-pod5,152.382
6,stress-6instance-pod6,129.576
7,stress-7instance-pod1,126.735
7,stress-7instance-pod2,146.844
7,stress-7instance-pod3,138.324
7,stress-7instance-pod4,138.888
7,stress-7instance-pod5,147.384
7,stress-7instance-pod6,142.281
7,stress-7instance-pod7,142.65
8,stress-8instance-pod1,146.493
8,stress-8instance-pod2,140.142
8,stress-8instance-pod3,147.954
8,stress-8instance-pod4,142.929
8,stress-8instance-pod5,145.884
8,stress-8instance-pod6,136.659
8,stress-8instance-pod7,151.125
8,stress-8instance-pod8,149.463
9,stress-9instance-pod1,163.161
9,stress-9instance-pod2,158.247
9,stress-9instance-pod3,157.413
9,stress-9instance-pod4,159.324
9,stress-9instance-pod5,159.651
9,stress-9instance-pod6,159.396
9,stress-9instance-pod7,159.66
9,stress-9instance-pod8,163.149
9,stress-9instance-pod9,157.071
10,stress-10instance-pod1,161.037
10,stress-10instance-pod2,166.881
10,stress-10instance-pod3,165.843
10,stress-10instance-pod4,173.802
10,stress-10instance-pod5,172.344
10,stress-10instance-pod6,166.554
10,stress-10instance-pod7,166.14
10,stress-10instance-pod8,161.619
10,stress-10instance-pod9,165.723
10,stress-10instance-pod10,166.905
